,Unnamed: 0,0,Cluster
0,0,399,1
1,1,589,4
2,2,1201,4
3,3,1727,2
4,4,2182,1
5,5,2616,2
6,6,2719,4
7,7,3353,0
8,8,3626,0
9,9,5641,0
10,10,6041,1
11,11,6638,0
12,12,7333,2
13,13,7958,2
14,14,8209,2
15,15,9500,2
16,16,9601,0
17,17,9850,0
18,18,10324,4
19,19,11665,2
20,20,12405,2
21,21,12876,2
22,22,13984,2
23,23,14239,3
24,24,14497,2
25,25,15188,0
26,26,15780,2
27,27,17890,0
28,28,19893,2
29,29,19957,0
30,30,20027,0
31,31,20901,0
32,32,21257,0
33,33,21507,0
34,34,22415,0
35,35,24157,4
36,36,24918,3
37,37,25281,2
38,38,25574,2
39,39,25583,3
40,40,26275,2
41,41,26465,1
42,42,27165,4
43,43,27671,3
44,44,27804,0
45,45,28277,0
46,46,29384,2
47,47,29537,2
48,48,29607,4
49,49,29680,3
50,50,30539,3
51,51,31739,2
52,52,32093,1
53,53,32486,3
54,54,32808,1
55,55,33411,3
56,56,33540,2
57,57,34250,3
58,58,36772,3
59,59,36904,2
60,60,37571,1
61,61,37890,1
62,62,38065,2
63,63,39045,0
64,64,39448,3
65,65,40274,1
66,66,40507,3
67,67,40628,1
68,68,40670,4
69,69,40978,3
70,70,41006,2
71,71,41833,3
72,72,42563,2
73,73,44197,1
74,74,44388,4
75,75,44810,0
76,76,45076,2
77,77,45923,0
78,78,46106,3
79,79,46431,0
80,80,46600,0
81,81,46847,2
82,82,47763,4
83,83,49671,1
84,84,50786,2
85,85,50868,1
86,86,50938,1
87,87,51219,0
88,88,51394,0
89,89,51993,0
90,90,52237,2
91,91,52764,2
92,92,54458,2
93,93,54984,2
94,94,55013,1
95,95,55367,3
96,96,56887,2
97,97,57034,3
98,98,57834,2
99,99,58150,1
