Unnamed: 0,0,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25
0,399,0,0,3,3,3,3,3,3,3,1,0,4,1,1,1,1,0,14,14,14,14,14,6,2
1,589,1,1,0,4,4,4,4,4,9,9,9,9,4,4,4,4,1,1,0,6,6,6,2,0
2,1201,1,1,0,2,2,0,2,0,4,4,1,0,9,9,9,9,9,9,9,9,4,4,4,4
3,1727,0,2,2,0,5,5,5,2,2,2,2,2,2,0,11,11,11,11,11,11,11,5,5,5
4,2182,0,0,3,3,3,3,3,3,3,1,0,4,1,1,1,1,0,14,14,14,14,14,6,2
5,2616,0,2,2,0,1,1,1,1,1,0,4,1,0,14,14,14,14,6,6,2,2,0,14,14
6,2719,1,1,0,2,2,0,2,0,4,4,1,0,13,13,13,13,13,13,13,13,13,13,13,13
7,3353,0,0,1,1,0,2,0,5,5,5,5,5,5,5,2,0,4,4,4,4,1,1,1,1
8,3626,0,0,3,3,3,3,3,3,3,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12
9,5641,0,0,3,3,3,3,3,3,3,1,0,4,1,1,1,1,0,8,3,3,3,3,3,3
10,6041,0,0,3,3,3,3,3,3,3,1,0,4,1,1,1,1,0,14,14,14,14,14,6,2
11,6638,0,0,3,3,3,3,3,3,3,1,0,4,1,1,1,1,0,14,14,14,14,14,6,2
12,7333,0,2,2,0,1,1,1,1,1,0,4,1,0,6,6,2,2,0,19,19,19,19,19,19
13,7958,0,2,2,0,1,1,1,1,1,0,4,1,0,14,14,14,14,6,6,2,2,0,23,23
14,8209,0,2,2,0,1,1,1,1,1,0,11,11,11,11,5,5,5,5,5,5,5,2,0,6
15,9500,0,2,2,0,1,1,1,1,1,0,11,11,11,11,5,5,5,5,5,5,5,2,0,11
16,9601,0,2,2,0,1,1,1,1,1,0,4,1,0,14,14,14,14,6,6,2,2,0,14,14
17,9850,0,0,1,1,0,2,0,5,5,5,5,5,5,5,2,0,4,4,4,4,1,1,1,1
18,10324,1,1,0,2,2,0,2,0,4,4,1,0,13,13,13,13,13,13,13,13,13,13,13,13
19,11665,0,2,2,0,1,1,1,1,1,0,11,11,11,11,5,5,5,5,5,5,5,2,0,11
20,12405,0,2,2,0,1,1,1,1,1,0,4,1,0,14,14,14,14,6,6,2,2,0,14,14
21,12876,0,2,2,0,1,1,1,1,1,0,4,1,0,6,6,2,2,0,18,18,18,18,18,18
22,13984,0,2,2,0,1,1,1,1,1,0,11,11,11,11,5,5,5,5,5,5,5,2,0,6
23,14239,1,1,0,2,2,0,2,0,0,8,8,8,8,8,8,8,8,18,8,8,8,8,8,8
24,14497,0,2,2,0,1,1,1,1,1,0,4,1,0,14,14,14,14,6,6,2,2,0,23,23
25,15188,0,0,3,3,3,3,3,3,3,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12
26,15780,0,0,1,1,0,6,6,6,6,6,6,6,6,2,0,7,7,7,7,7,7,7,7,7
27,17890,0,0,3,3,3,3,3,3,3,1,0,4,1,1,1,1,0,8,3,3,3,3,3,3
28,19893,0,2,2,0,5,5,5,2,2,2,2,2,2,0,11,11,11,11,11,11,11,5,5,5
29,19957,0,0,1,1,0,2,0,5,5,5,5,5,5,5,2,0,4,4,4,4,1,1,1,1
30,20027,0,0,3,3,3,3,3,3,3,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12
31,20901,0,0,3,3,3,3,3,3,3,1,0,4,1,1,1,1,0,14,14,14,14,14,6,2
32,21257,0,0,3,3,3,3,3,3,3,1,0,4,1,1,1,1,0,14,14,14,14,14,6,2
33,21507,0,0,3,3,3,3,3,3,3,1,0,4,1,1,1,1,0,8,3,3,3,3,3,3
34,22415,0,0,3,3,3,3,3,3,3,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12
35,24157,1,1,0,2,2,0,2,0,0,10,10,10,10,10,10,10,10,10,10,10,21,21,21,21
36,24918,1,1,0,2,2,0,2,0,0,8,8,8,8,8,8,8,8,18,8,8,8,8,8,8
37,25281,0,2,2,0,1,1,1,1,1,0,4,1,0,14,14,14,14,6,6,2,2,0,23,23
38,25574,0,2,2,0,1,1,1,1,1,0,4,1,0,14,14,14,14,6,6,2,2,0,14,14
39,25583,0,0,3,3,3,3,3,3,3,1,0,4,1,1,1,1,0,8,3,3,3,3,3,3
40,26275,0,0,1,1,0,6,6,6,6,6,6,6,6,2,0,7,7,7,7,7,7,7,7,7
41,26465,0,0,1,1,0,2,0,8,8,3,3,3,3,3,3,3,3,3,1,1,0,11,11,24
42,27165,1,1,0,2,2,0,2,0,4,4,1,0,9,9,9,9,9,9,9,9,4,4,4,4
43,27671,0,0,3,3,3,3,3,3,3,1,0,4,1,1,1,1,0,8,3,3,3,3,3,3
44,27804,0,0,3,3,3,3,3,3,3,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12
45,28277,0,0,3,3,3,3,3,3,3,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12
46,29384,0,2,2,0,1,1,1,1,1,0,11,11,11,11,5,5,5,5,5,5,5,2,0,6
47,29537,0,0,1,1,0,6,6,6,6,6,6,6,6,2,0,7,7,7,7,7,7,7,7,7
48,29607,1,1,0,2,2,0,2,0,4,4,1,0,9,9,9,9,9,9,9,9,4,4,4,4
49,29680,0,0,3,3,3,3,3,3,3,1,0,4,1,1,1,1,0,8,3,3,3,3,3,3
50,30539,0,0,3,3,3,3,3,3,3,1,0,4,1,1,1,1,0,8,3,3,3,3,3,3
51,31739,0,2,2,0,1,1,1,1,1,0,11,11,11,11,5,5,5,5,5,5,5,2,0,6
52,32093,0,0,1,1,0,2,0,5,5,5,5,5,5,5,2,0,4,4,4,4,1,1,1,1
53,32486,0,0,3,3,3,3,3,3,3,1,0,4,1,1,1,1,0,8,3,3,3,3,3,3
54,32808,1,1,0,4,4,4,4,4,9,9,9,9,4,4,4,4,1,1,0,20,20,20,20,20
55,33411,1,1,0,2,2,0,2,0,0,8,8,8,8,8,8,8,8,18,8,8,8,8,8,8
56,33540,0,2,2,0,1,1,1,1,1,0,4,1,0,14,14,14,14,6,6,2,2,0,14,14
57,34250,0,0,3,3,3,3,3,3,3,1,0,4,1,1,1,1,0,8,3,3,3,3,3,3
58,36772,0,0,3,3,3,3,3,3,3,1,0,4,1,1,1,1,0,8,3,3,3,3,3,3
59,36904,0,2,2,0,1,1,1,1,1,0,11,11,11,11,5,5,5,5,5,5,5,2,0,6
60,37571,0,0,1,1,0,6,6,6,6,6,6,6,6,2,0,7,7,7,7,7,7,7,7,7
61,37890,0,0,1,1,0,2,0,5,5,5,5,5,5,5,2,0,4,4,4,4,1,1,1,1
62,38065,0,2,2,0,1,1,1,1,1,0,11,11,11,11,5,5,5,5,5,5,5,2,0,6
63,39045,0,0,1,1,0,2,0,5,5,5,5,5,5,5,2,0,4,4,4,4,1,1,1,1
64,39448,1,1,0,2,2,0,7,7,7,7,7,7,7,7,15,15,15,15,15,15,15,15,15,15
65,40274,0,0,1,1,0,2,0,8,8,3,3,3,3,3,3,3,3,3,1,1,0,22,22,22
66,40507,0,0,3,3,3,3,3,3,3,1,0,4,1,1,1,1,0,8,3,3,3,3,3,3
67,40628,0,0,3,3,3,3,3,3,3,1,0,4,1,1,1,1,0,14,14,14,14,14,6,2
68,40670,1,1,0,2,2,0,2,0,4,4,1,0,13,13,13,13,13,13,13,13,13,13,13,13
69,40978,0,0,3,3,3,3,3,3,3,1,0,4,1,1,1,1,0,8,3,3,3,3,3,3
70,41006,0,2,2,0,5,5,5,2,2,2,2,2,2,0,7,16,16,16,16,16,16,16,16,16
71,41833,0,0,3,3,3,3,3,3,3,1,0,4,1,1,1,1,0,8,3,3,3,3,3,3
72,42563,0,2,2,0,1,1,1,1,1,0,4,1,0,14,14,14,14,6,6,2,2,0,14,14
73,44197,0,0,3,3,3,3,3,3,3,1,0,4,1,1,1,1,0,14,14,14,14,14,6,2
74,44388,1,1,0,2,2,0,2,0,0,8,8,8,8,8,8,8,8,18,8,8,8,8,8,8
75,44810,0,0,1,1,0,2,0,5,5,5,5,5,5,5,2,0,4,4,4,4,1,1,1,1
76,45076,0,0,1,1,0,6,6,6,6,6,6,6,6,2,0,6,6,2,2,0,10,10,10,10
77,45923,0,0,3,3,3,3,3,3,3,1,0,4,1,1,1,1,0,14,14,14,14,14,6,2
78,46106,0,0,3,3,3,3,3,3,3,1,0,4,1,1,1,1,0,8,3,3,3,3,3,3
79,46431,0,0,1,1,0,2,0,5,5,5,5,5,5,5,2,0,4,4,4,4,1,1,1,1
80,46600,0,0,3,3,3,3,3,3,3,1,0,4,1,1,1,1,0,8,3,3,3,3,3,3
81,46847,0,2,2,0,1,1,1,1,1,0,11,11,11,11,5,5,5,5,5,5,5,2,0,6
82,47763,1,1,0,4,4,4,4,4,9,9,9,9,4,4,4,4,1,1,0,6,6,6,2,0
83,49671,0,0,1,1,0,2,0,8,8,3,3,3,3,3,3,3,3,3,1,1,0,11,11,24
84,50786,0,0,1,1,0,2,0,5,5,5,5,5,5,5,2,0,17,17,17,17,17,17,17,17
85,50868,0,0,1,1,0,2,0,8,8,3,3,3,3,3,3,3,3,3,1,1,0,11,11,24
86,50938,0,0,1,1,0,2,0,8,8,3,3,3,3,3,3,3,3,3,1,1,0,11,11,24
87,51219,0,0,1,1,0,2,0,5,5,5,5,5,5,5,2,0,4,4,4,4,1,1,1,1
88,51394,0,0,3,3,3,3,3,3,3,1,0,4,1,1,1,1,0,14,14,14,14,14,6,2
89,51993,0,0,3,3,3,3,3,3,3,1,0,4,1,1,1,1,0,14,14,14,14,14,6,2
90,52237,0,2,2,0,5,5,5,2,2,2,2,2,2,0,11,11,11,11,11,11,11,5,5,5
91,52764,0,2,2,0,5,5,5,2,2,2,2,2,2,0,11,11,11,11,11,11,11,5,5,5
92,54458,0,0,1,1,0,6,6,6,6,6,6,6,6,2,0,6,6,2,2,0,9,9,9,9
93,54984,0,2,2,0,1,1,1,1,1,0,11,11,11,11,5,5,5,5,5,5,5,2,0,6
94,55013,0,0,1,1,0,6,6,6,6,6,6,6,6,2,0,7,7,7,7,7,7,7,7,7
95,55367,0,0,3,3,3,3,3,3,3,1,0,4,1,1,1,1,0,8,3,3,3,3,3,3
96,56887,0,2,2,0,1,1,1,1,1,0,11,11,11,11,5,5,5,5,5,5,5,2,0,6
97,57034,1,1,0,2,2,0,2,0,0,8,8,8,8,8,8,8,8,18,8,8,8,8,8,8
98,57834,0,2,2,0,1,1,1,1,1,0,4,1,0,14,14,14,14,6,6,2,2,0,14,14
