Unnamed: 0,0,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25
0,399,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1
1,589,1,1,1,4,4,6,6,6,6,6,6,6,13,13,13,13,13,13,13,11,11,11,11,11
2,1201,1,1,3,4,4,4,5,5,5,10,10,10,10,10,10,10,10,10,19,5,5,5,5,5
3,1727,0,2,2,2,2,2,2,2,2,2,11,11,11,11,11,11,11,11,11,8,8,8,8,8
4,2182,1,1,1,1,1,1,7,7,9,9,9,9,9,9,9,9,9,9,9,15,15,15,15,15
5,2616,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,24
6,2719,1,1,3,4,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4
7,3353,1,0,0,0,0,0,1,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12
8,3626,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,5641,1,1,0,0,0,0,7,7,9,9,9,9,9,9,9,9,9,9,9,15,15,15,15,15
10,6041,1,1,1,1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,6638,1,0,0,0,0,0,1,7,9,9,9,9,9,9,9,9,9,9,9,15,15,15,15,15
12,7333,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10
13,7958,0,2,2,2,5,5,4,4,4,4,4,4,4,4,4,4,17,17,17,13,13,13,13,13
14,8209,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,13,13,13,13,13
15,9500,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
16,9601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,9850,0,0,0,0,5,5,4,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12
18,10324,1,1,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4
19,11665,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
20,12405,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,12876,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,17,18,18,17,17,17,17,17
22,13984,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
23,14239,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
24,14497,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,17,17,17,13,13,13,13,13
25,15188,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,15780,0,2,2,2,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,16,16,16,16,16
27,17890,1,1,0,0,0,0,7,7,9,9,9,9,9,9,9,9,9,9,9,15,15,15,15,15
28,19893,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10
29,19957,1,0,0,0,0,0,1,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12
30,20027,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7
31,20901,1,0,0,0,0,0,7,7,9,9,9,9,9,9,9,9,9,9,9,15,15,15,15,15
32,21257,1,0,0,0,0,0,7,7,9,9,9,9,9,9,9,9,9,9,9,15,15,15,15,15
33,21507,1,0,0,0,0,0,7,7,9,9,9,9,9,9,9,9,9,9,9,15,15,15,15,15
34,22415,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7
35,24157,1,1,3,4,4,6,5,5,5,5,5,12,12,12,12,12,12,12,12,20,20,20,20,20
36,24918,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,22,22,22
37,25281,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,17,17,17,13,13,13,13,13
38,25574,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,18,10,10,10,10,24
39,25583,1,1,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3
40,26275,0,0,2,2,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6
41,26465,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,27165,1,1,3,4,4,4,3,3,3,10,10,10,10,10,10,10,10,10,10,5,5,5,5,5
43,27671,1,1,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3
44,27804,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,28277,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7
46,29384,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,17,17,10,10,10,10,10
47,29537,0,2,2,2,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,16,16,16,16,16
48,29607,1,1,3,4,4,4,3,3,3,10,10,10,10,10,10,10,10,10,10,5,5,5,5,5
49,29680,1,1,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3
50,30539,1,1,0,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,15,15,15,15,15
51,31739,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,17,17,17,13,13,13,13,13
52,32093,1,0,1,1,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12
53,32486,1,1,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3
54,32808,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,18,18,18,18,18
55,33411,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
56,33540,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,34250,1,1,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3
58,36772,1,1,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3
59,36904,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10
60,37571,0,0,1,1,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6
61,37890,1,0,1,1,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12
62,38065,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10
63,39045,1,0,0,0,0,0,1,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12
64,39448,1,1,3,3,3,3,3,3,3,3,3,3,3,3,15,15,15,15,15,9,9,9,9,9
65,40274,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,21,21,21
66,40507,1,1,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
67,40628,1,0,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1
68,40670,1,1,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4
69,40978,1,1,0,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3
70,41006,0,2,2,2,2,2,2,2,2,2,11,11,11,14,14,14,14,14,14,14,14,14,14,14
71,41833,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
72,42563,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,13,13,13,13,13
73,44197,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,44388,1,1,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,22,22,22
75,44810,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12
76,45076,0,0,2,2,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,16,16,16,23,23
77,45923,1,0,0,0,0,0,7,7,9,9,9,9,9,9,9,9,9,9,9,15,15,15,15,15
78,46106,1,1,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3
79,46431,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12
80,46600,1,1,0,0,0,0,7,7,9,9,9,9,9,9,9,9,9,9,9,15,15,15,15,15
81,46847,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,17,2,2,2,2,2,2,2
82,47763,1,1,3,4,4,6,5,5,5,5,5,5,13,13,13,16,16,16,16,11,11,11,11,11
83,49671,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
84,50786,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,17,17,17,19,19,19,19,19
85,50868,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,50938,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,51219,1,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12
88,51394,1,0,0,0,0,0,7,7,9,9,9,9,9,9,9,9,9,9,9,15,15,15,15,15
89,51993,1,0,0,0,0,0,1,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12
90,52237,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10
91,52764,0,2,2,2,2,2,2,2,2,2,11,11,11,11,11,11,11,11,11,8,8,8,8,8
92,54458,0,2,2,2,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,16,16,16,16,16
93,54984,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10
94,55013,1,0,1,1,5,5,4,4,4,4,4,4,4,4,4,4,8,8,8,6,6,6,6,6
95,55367,1,1,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3
96,56887,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,17,17,17,13,13,13,13,13
97,57034,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,22,22,22
98,57834,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,18,10,10,10,10,24
99,58150,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6
